language,strategy,threshold,threshold_sd,n_draws,f1,f1_sd,fpr,fnr,precision,recall,predicted_positive_rate,objective_value,is_degenerate,is_source,test_auroc,test_prevalence,dev_prevalence,n_dev,n_test,tau_source,source_language,objective,f1_ci_low,f1_ci_high,f1_target_full,f1_gap_to_full,prevalence_setting,fpr_budget,task,encoder,exp_id
ru,bbse,0.5695410504291722,0.0,1,0.825910931174089,0.0,0.1721419185282523,0.17185385656292287,0.8236877523553163,0.8281461434370772,0.49533333333333335,0.8281461434370772,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,,,0.7076663858466723,-0.11824454532741668,native,0.05,toxicity,encoder_minilm,EXP-007
ru,few_label_8_strat,0.7480427176723807,0.14473044146866165,25,0.7401365290296428,0.1274602186778869,0.09245729303547962,0.3337483085250338,0.8899741593294453,0.6662516914749662,0.37514666666666663,0.6662516914749662,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,,,0.7076663858466723,-0.03247014318297048,native,0.05,toxicity,encoder_minilm,EXP-007
ru,few_label_8_rand,0.6858779307051097,0.2125900840464371,25,0.753210314563804,0.09353781703820718,0.13965834428383705,0.29255751014884984,0.8614599364336728,0.7074424898511501,0.4193866666666667,0.7074424898511501,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,,,0.7076663858466723,-0.045543928717131754,native,0.05,toxicity,encoder_minilm,EXP-007
ru,few_label_16_strat,0.7958966682492589,0.1523953345484951,25,0.7261416043567585,0.09417664615991933,0.07590013140604468,0.3715290933694182,0.9072430994237323,0.6284709066305818,0.34813333333333335,0.6284709066305818,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,,,0.7076663858466723,-0.018475218510086155,native,0.05,toxicity,encoder_minilm,EXP-007
ru,few_label_16_rand,0.8331719560439366,0.10280540413396284,25,0.6883304709192956,0.15522589796168526,0.05519053876478318,0.42024357239512855,0.9229947230090212,0.5797564276048714,0.3136266666666667,0.5797564276048714,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,,,0.7076663858466723,0.01933591492737674,native,0.05,toxicity,encoder_minilm,EXP-007
ru,few_label_32_strat,0.8759422050692711,0.07433537085842237,25,0.6599639820531382,0.10803398241905705,0.039211563731931666,0.47447902571041956,0.9349800942553539,0.5255209742895804,0.2788,0.5255209742895804,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,,,0.7076663858466723,0.047702403793534076,native,0.05,toxicity,encoder_minilm,EXP-007
ru,few_label_32_rand,0.8658532978748128,0.1056370105508359,25,0.6549246880859755,0.140733017021312,0.04488830486202366,0.47031123139377534,0.9321111737273057,0.5296887686062246,0.28373333333333334,0.5296887686062246,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,,,0.7076663858466723,0.052741697760696815,native,0.05,toxicity,encoder_minilm,EXP-007
ru,few_label_64_strat,0.8550589305360315,0.04994889141136794,25,0.7182143401533848,0.06378102046275475,0.0452562417871222,0.40828146143437083,0.9294621248194365,0.5917185385656293,0.31448,0.5917185385656293,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,,,0.7076663858466723,-0.010547954306712515,native,0.05,toxicity,encoder_minilm,EXP-007
ru,few_label_64_rand,0.8771532636330499,0.052195041159699876,25,0.6777686846582134,0.09557972771135825,0.037687253613666226,0.4578078484438431,0.9364942591098964,0.5421921515561571,0.28624,0.5421921515561571,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,,,0.7076663858466723,0.029897701188458914,native,0.05,toxicity,encoder_minilm,EXP-007
ru,few_label_128_strat,0.8531886686502468,0.04838328816846792,25,0.7225264001965047,0.048334824530863026,0.045676741130091986,0.4043843031123139,0.9291303258609829,0.5956156968876861,0.3166133333333333,0.5956156968876861,False,False,0.9069026403901995,0.49266666666666664,0.508,1000,1500,0.6076457815873632,en,target_fpr,,,0.7076663858466723,-0.014860014349832418,native,0.05,toxicity,encoder_minilm,EXP-007
